SunPartnerID,SunUID,SunName,SunPeriode,SunFrankenRegel,SunInfoJaNein,SunInfoTageimVoraus,SunNetzkostenNE5,SunNetzkostenNE6,SunNetzkostenNE7,SunProdukteAnzahl,SunProdukteAuswahl,SunRechtzeitig,SunSAIDItotal,SunSAIDIungeplant,SunSAIFItotal,SunSAIFIungeplant,SunTarifEC2,SunTarifEC3,SunTarifEC4,SunTarifEC6,SunTarifEH2,SunTarifEH4,SunTarifEH7,SunTarifNC2,SunTarifNC3,SunTarifNC4,SunTarifNC6,SunTarifNH2,SunTarifNH4,SunTarifNH7
417,CHE-112.610.105,Elektrizitätswerk Vals (EW Vals),2024,75.11507337526206,Ja,2,23017.60751,11.76741697,10948.89475,1,,1,,,,,5.500000000000001,5.500000000000001,5.500000000000001,5.601333333333334,5.500000000000001,5.500000000000001,5.500000000000001,7.0200000000000005,6.764,6.7192,4.916,10.540000000000001,8.833333333333334,7.438461538461539
368,CHE-108.956.339,"Elektrizitätswerk, Dorfkorporation Azmoos",2024,74.56756756756756,Ja,3,15867.80625,20.56338798,9778.673261,3,Nein,1,,,,,21.6,21.099999999999998,21.099999999999998,21.099999999999998,21.599999999999998,21.599999999999998,21.599999999999998,14.493666666666666,11.091333333333333,10.559,6.883266666666667,18.153428571428574,16.136666666666667,13.86076923076923
455,CHE-108.953.884,"Elektrizitätswerk, Ortsgemeinde Quarten",2024,104.06004618937645,Ja,7,9799.521277,6.147916667,18672.72487,1,,1,,,,,22.4,22.4,22.4,,22.4,22.4,22.4,13.25,12.65,12.21,,17.650000000000002,15.516666666666666,13.773076923076923
486,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),2024,74.67785664857384,Ja,3,14035.57118,8.62099017,10681.3032,1,Nein,0,16.6234326882,3.2217938553,0.2524647129,0.0294940071,18.727249999999998,18.54,18.3615,18.378166666666665,19.595714285714287,18.965476190476192,18.263186813186813,9.05,8.63,7.834,6.112,11.249999999999998,10.183333333333334,9.119230769230768
795,CHE-104.111.314,Elektrizitätswerk-Genossenschaft Riedbach,2024,66.30925666199158,Ja,30,9403.944607,3.466573132,10418.82313,2,Ja,1,,,,,10.46865,10.529,10.127799999999999,,10.049999999999999,10.217333333333332,9.620153846153846,8.890366666666667,7.442,6.8684,,13.459999999999999,12.071777777777777,10.022461538461538
855,CHE-102.351.296,Elektrogenossenschaft Bisisthal,2024,75,Ja,5,2131.168421,6.711,5064.254118,1,Ja,0,,,,,6.550000000000001,5.41,,,7.1000000000000005,6.833333333333334,6.615384615384615,14.6,13.559999999999999,,,15.15,14.883333333333333,14.665384615384614
263,CHE-101.671.752,Elektrogenossenschaft Moos-Dieselbach,2024,46.782916666666665,Ja,3,3134.383505,14.22772662,3561.690769,1,Nein,1,,,,,15,14.7,14.7,,15,15,15,16.22,15.66,15.304,,19.740000000000002,18.03333333333333,16.638461538461538
491,CHE-102.468.573,Elektro-Genossenschaft Oberrüti,2024,26.12853470437018,Ja,7,13116.7,15.50592,10169.86584,1,,0,,,,,,15.5,,,16,16,,,6.551333333333334,,,7.688942857142857,6.939444444444445,
492,CHE-102.280.242,Elektro-Genossenschaft Ulisbach,2024,45.793712374581936,Ja,7,4609.166667,3.72568306,16737.95187,1,Nein,0,,,,,24.25951666666667,22.376666666666665,21.9975,,22.869714285714288,22.939999999999998,22.53563186813187,10.264016666666665,11.523333333333333,11.257000000000001,,13.171142857142856,11.59,8.683818681318682
462,CHE-412.827.971,"Elektroinstallation, EW - Samnaun",2024,77.17560975609756,Ja,5,0,0,66299.2653,2,Nein,0,,,,,7.693666666666667,7.69,7.5865,7.6851666666666665,7.626,7.615555555555556,7.516923076923077,11.162666666666665,11.103333333333333,10.77,11.079333333333333,12.466000000000001,11.721111111111112,10.67153846153846
